cityId,name
1,San Andrés de Sotavento
2,Mistrató
3,La Llanada
4,Popayán
5,Bolívar
6,San Luis de Palenque
7,Fusagasugá
8,El Peñón
9,Anserma
10,Frontino
11,Samaniego
12,Cali
13,Solita
14,Ayapel
15,Nariño
16,Supatá
17,Venadillo
18,Oporapa
19,Belén
20,La Victoria
21,Funes
22,Soatá
23,Tinjacá
24,Zapayán
25,Tópaga
26,El Espino
27,Manizales
28,Yacopí
29,Vetas
30,Villa Rica
31,Alejandría
32,Bolívar
33,El Tarra
34,Santa Rosa de Cabal
35,Nátaga
36,Sasaima
37,Chivolo
38,Altos del Rosario
39,Coveñas
40,Chita
41,Tinjacá
42,Cotorra
43,Puerto Carreño
44,Armero
45,Jenesano
46,Chiquinquirá
47,El Carmen de Chucurí
48,Zapatoca
49,Los Santos
50,San Jacinto
51,San Antonio
52,Villa Rica
53,Campohermoso
54,Fosca
55,Almeida
56,Puerto Leguízamo
57,Samaná
58,Charalá
59,Covarachía
60,Sotaquirá
61,Pana Pana
62,Tunja
63,Barranquilla
64,Campamento
65,San Martín
66,Tarazá
67,La Vega
68,San Carlos de Guaroa
69,Susacón
70,Linares
71,Cubará
72,Calamar
73,Florencia
74,San Antonio del Tequendama
75,La Ceja
76,Ayapel
77,Zapayán
78,Tibaná
79,Neira
80,Padilla
81,San Bernardo
82,La Belleza
83,Valencia
84,Morales
85,Piedecuesta
86,Apulo
87,Herrán
88,Chinchiná
89,San Fernando
90,Tello
91,El Retén
92,Santana
93,Barranco de Loba
94,Togüí
95,Anolaima
96,Salamina
97,Gutiérrez
98,Nátaga
99,Soatá
100,Angelópolis
101,Tibirita
102,Puerto Santander
103,Támesis
104,El Tambo
105,Florida
106,Río Quito
107,Campohermoso
108,Calima
109,Barrancabermeja
110,Macanal
111,Arcabuco
112,Rovira
113,La Macarena
114,Río Quito
115,Vigía del Fuerte
116,Concordia
117,Suárez
118,Pelaya
119,Topaipí
120,San Pedro de los Milagros
121,El Zulia
122,Girón
123,Puente Nacional
124,San José del Palmar
125,El Tambo
126,Santiago
127,Manaure
128,Istmina
129,Copacabana
130,Pueblo Rico
131,La Virginia
132,Rovira
133,La Unión
134,Quimbaya
135,Busbanzá
136,Palmar de Varela
137,Tota
138,La Capilla
139,La Esperanza
140,Suárez
141,La Celia
142,San Francisco
143,Zetaquira
144,Marinilla
145,Pensilvania
146,Ubaque
147,Gamarra
148,Une
149,Nimaima
150,El Tambo
151,La Sierra
152,Puerto Colombia
153,Puerto Libertador
154,Agua de Dios
155,Maceo
156,Unión Panamericana
157,Yacopí
158,Nariño
159,Plato
160,Giraldo
161,Albania
162,Guapotá
163,Zetaquira
